description,name,nodeId,contentHash,loadedAt
"The event's accommodation code, which is derived from the category title.",ACCOMMODATION_CODE,emr|dbo|ADT_EVENTS|ACCOMMODATION_CODE,46b1d4713bd80fdd,2026-09-06T00:00:00Z
The category value that indicates the reason for the patient's room accommodation in the event record at the effective time.,ACCOM_REASON_CODE,emr|dbo|ADT_EVENTS|ACCOM_REASON_CODE,db27b55b6153ea04,2026-09-06T00:00:00Z
"This item contains the explanation for an auto-generated event, such as when a service is automatically updated because of a change in the attending provider.",ACTION_SOURCE_CODE,emr|dbo|ADT_EVENTS|ACTION_SOURCE_CODE,88990bc08f7e3b6f,2026-09-06T00:00:00Z
*** Deprecated *** This column has been superseded by column HSP_ADM_EVENT_ID in table HOSPITAL_ENCOUNTERS_EXT. Use the replacement column to obtain the relevant values. It represents the ID number of the admission event record for this patient stay.,ADM_EVENT_ID,emr|dbo|ADT_EVENTS|ADM_EVENT_ID,5edf6e6e7be5ed48,2026-09-06T00:00:00Z
The category value associated with an alternate type for the EVENT_RECORD.,ALT_EVENT_TYPE_CODE,emr|dbo|ADT_EVENTS|ALT_EVENT_TYPE_CODE,27afdd8a2e51c097,2026-09-06T00:00:00Z
The category value that relates to the primary classification for the patient in the event record at the specified effective time.,BASE_PAT_CLASS_CODE,emr|dbo|ADT_EVENTS|BASE_PAT_CLASS_CODE,5f9ac7662b61217c,2026-09-06T00:00:00Z
The ID number of the bed associated with the event record at the time it is effective.,BED_ID,emr|dbo|ADT_EVENTS|BED_ID,1a13f825506bb283,2026-09-06T00:00:00Z
The category value that represents the record state of the bed in the event record at the effective time.,BED_STATUS_CODE,emr|dbo|ADT_EVENTS|BED_STATUS_CODE,4b8d801f363b1a98,2026-09-06T00:00:00Z
The SERIAL_NUMBER for the bed contact in the event record is unique to all bed contacts within the system.,BED_STAY_ID,emr|dbo|ADT_EVENTS|BED_STAY_ID,2743e09791277144,2026-09-06T00:00:00Z
This item contains the explanation for the cancellation of an event.,CANCEL_REASON_CODE,emr|dbo|ADT_EVENTS|CANCEL_REASON_CODE,ef9e43093d36a157,2026-09-06T00:00:00Z
The ID number of the canceled event record that this event record supersedes.,CANC_EVENT_ID,emr|dbo|ADT_EVENTS|CANC_EVENT_ID,adb5fddc94addcee,2026-09-06T00:00:00Z
"ID of the logical deployment owner associated with this record. Logical owners indicate the deployment in which the record was created, but do not reflect whether the record is affected by version skew.",CM_LOG_OWNER_ID,emr|dbo|ADT_EVENTS|CM_LOG_OWNER_ID,b7e77164f84e1955,2026-09-06T00:00:00Z
"ID of the physical deployment owner associated with this record. Physical owners indicate the location where the data is hosted, either on the cross-over server or the owner deployment.",CM_PHY_OWNER_ID,emr|dbo|ADT_EVENTS|CM_PHY_OWNER_ID,f38154cc4c8e8d47,2026-09-06T00:00:00Z
"The free text comment linked to the event record, used to store user-overridden confirmation warnings for the event type event record action.",COMMENTS,emr|dbo|ADT_EVENTS|COMMENTS,f3e43bb2b5d3988a,2026-09-06T00:00:00Z
"When an event changes from LOA Out to Discharge or from Discharge to LOA Out, as shown in I ADT 95 (Event Conversion Flag), a new ADT event is generated that is not associated with the canceled event through I ADT 92 (Event Pointer). This item references the new ADT event.",CONVERTED_TO_EVENT_ID,emr|dbo|ADT_EVENTS|CONVERTED_TO_EVENT_ID,66e4182a29ff8c45,2026-09-06T00:00:00Z
The moment when the event record was removed.,DELETE_TIME,emr|dbo|ADT_EVENTS|DELETE_TIME,944dfaa44947c293,2026-09-06T00:00:00Z
The ID number of the unit associated with the event record at the time it became effective.,DEPARTMENT_ID,emr|dbo|ADT_EVENTS|DEPARTMENT_ID,22a1dd9f7b2335bf,2026-09-06T00:00:00Z
*** Deprecated *** This column has been superseded by column HSP_DIS_EVENT_ID in table HOSPITAL_ENCOUNTERS_EXT. Use the replacement column to obtain the relevant values. It represents the ID number of the discharge event record for this patient stay.,DIS_EVENT_ID,emr|dbo|ADT_EVENTS|DIS_EVENT_ID,16bbd1c22f361ff7,2026-09-06T00:00:00Z
The moment when the event was expected to occur.,EFFECTIVE_TIME,emr|dbo|ADT_EVENTS|EFFECTIVE_TIME,0bcdc1c676b13f9a,2026-09-06T00:00:00Z
The moment the event was intended to occur in UTC.,EFFECTIVE_UTC_DTTM,emr|dbo|ADT_EVENTS|EFFECTIVE_UTC_DTTM,929fb1c547a9dca1,2026-09-06T00:00:00Z
"The unique identifier for this contact's encounter. This number is distinct for all patient encounters within the system. If IntraConnect is utilized, this corresponds to the Unique Contact Identifier.",ENCOUNTER_ID,emr|dbo|ADT_EVENTS|ENCOUNTER_ID,435e7e559415ab5e,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for accuracy and consistency. It represents the unique ID of the financial classification linked to the primary payer for the related event and will only be populated for recurring residential series admissions.,ENC_SERIES_FINANCIAL_CLASS_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_FINANCIAL_CLASS_CODE,51424e7205bc71d7,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It contains the financial class of the LTC encounter series billing account before this event occurred.,ENC_SERIES_FROM_FIN_CLASS_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_FROM_FIN_CLASS_CODE,dfb06516e8250218,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It contains the primary payer information for the LTC encounter series billing account before this event.,ENC_SERIES_FROM_PAYER_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_FROM_PAYER_ID,d6168167bff0660a,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It contains the primary plan of the LTC encounter series billing account before this event.,ENC_SERIES_FROM_PLAN_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_FROM_PLAN_ID,16c56de712537fe2,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It represents the unique ID of the hospital account related to the associated event and will only be populated for recurring residential series admissions.,ENC_SERIES_HOSP_ACCOUNT_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_HOSP_ACCOUNT_ID,e7c79321dbecb014,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It holds the current interpretation of the incoming event type related to an LTC Financial Class change.,ENC_SERIES_IN_FIN_CL_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_IN_FIN_CL_EV_TYP_CODE,30194a3f6b568be3,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It holds the current interpretation of the incoming event type related to an LTC Payer change.,ENC_SERIES_IN_PAYER_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_IN_PAYER_EV_TYP_CODE,a6b89bf357703f35,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed to enhance accuracy and consistency. It holds the current interpretation of the incoming event type related to an LTC plan change.,ENC_SERIES_IN_PLAN_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_IN_PLAN_EV_TYP_CODE,8aab4716f8d91fff,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It holds the current interpretation of the outgoing event type related to an LTC Financial Class change.,ENC_SERIES_OUT_FIN_CL_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_OUT_FIN_CL_EV_TYP_CODE,9fb806ce87b88d54,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed to enhance accuracy and consistency. It holds the current interpretation of the outgoing event type related to an LTC Payer change.,ENC_SERIES_OUT_PAYER_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_OUT_PAYER_EV_TYP_CODE,6cfd20face3dcd83,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed to enhance accuracy and consistency. It holds the current interpretation of the outgoing event type related to an LTC plan change.,ENC_SERIES_OUT_PLAN_EV_TYP_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_OUT_PLAN_EV_TYP_CODE,cd3b7626055ce4d0,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It represents the unique ID of the primary payer responsible for the related event and will only be populated for recurring residential series admissions.,ENC_SERIES_PRIMARY_PAYER_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_PRIMARY_PAYER_ID,81246a01b5cb79a0,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for clarity and uniformity. It contains the unique ID of the primary plan responsible for the related event and will only be populated for recurring residential series admissions.,ENC_SERIES_PRIMARY_PLAN_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_PRIMARY_PLAN_ID,8bb555239bb2010a,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. This item holds the financial class of the LTC encounter series billing account following this event.,ENC_SERIES_TO_FIN_CLASS_CODE,emr|dbo|ADT_EVENTS|ENC_SERIES_TO_FIN_CLASS_CODE,d65631114e4e629d,2026-09-06T00:00:00Z
*** Deprecated *** This column is being renamed for improved accuracy and consistency. It holds the primary payer information for the LTC encounter series billing account following this event.,ENC_SERIES_TO_PAYER_ID,emr|dbo|ADT_EVENTS|ENC_SERIES_TO_PAYER_ID,135428467e90d54d,2026-09-06T00:00:00Z
