table,note
emr|dbo|ADT_EVENTS,description carries no grain declaration
emr|dbo|ALERT_ACTIONS,description carries no grain declaration
emr|dbo|ALERT_HISTORY,description carries no grain declaration
emr|dbo|BED_CONFIG,description carries no grain declaration
emr|dbo|CALENDAR_DATES,description carries no grain declaration
emr|dbo|CLINICAL_ALERTS,description carries no grain declaration
emr|dbo|CLINICAL_NOTES,description carries no grain declaration
emr|dbo|CONFIG_GROUPER_CATEGORIES,description carries no grain declaration
emr|reports|CONFIG_VALUE_SET,description carries no grain declaration
emr|dbo|DEPARTMENTS,description carries no grain declaration
emr|dbo|DIAGNOSES,description carries no grain declaration
emr|dbo|ED_ENCOUNTERS_DM,description carries no grain declaration
emr|dbo|ED_ENCOUNTERS_FACT,description carries no grain declaration
emr|dbo|ED_EVENT_INFO,description carries no grain declaration
emr|dbo|ED_EVENT_TEMPLATES,description carries no grain declaration
emr|dbo|ED_PATIENT_INFO,description carries no grain declaration
emr|dbo|EMPLOYEES,description carries no grain declaration
emr|dbo|ENCOUNTER_DIAGNOSES,description carries no grain declaration
emr|dbo|ENCOUNTER_VISIT_REASONS,description carries no grain declaration
emr|dbo|FLOWSHEET_MEASUREMENTS,description carries no grain declaration
emr|dbo|FLOWSHEET_RECORDS,description carries no grain declaration
emr|reports|FY_DATE_DIMENSION,description carries no grain declaration
emr|dbo|GROUPER_COMPILED_LIST,description carries no grain declaration
emr|dbo|GROUPER_GROUPS,description carries no grain declaration
emr|dbo|GROUPER_MED_RECORDS,description carries no grain declaration
emr|dbo|GROUPER_TERMINOLOGY,description carries no grain declaration
emr|dbo|HOSPITAL_ACCOUNTS,description carries no grain declaration
emr|dbo|HOSPITAL_ACCOUNTS_EXT,description carries no grain declaration
emr|dbo|HOSPITAL_ACCT_DIAGNOSES,description carries no grain declaration
emr|dbo|HOSPITAL_ENCOUNTERS,description carries no grain declaration
emr|dbo|HOSPITAL_TRANSACTIONS,description carries no grain declaration
emr|reporting|IP_SEPSIS,description carries no grain declaration
emr|reporting|IP_SepsisDetails,description carries no grain declaration
emr|reporting|IP_SepsisEncounters,description carries no grain declaration
emr|reporting|IP_SepsisEncountersWLocations,description carries no grain declaration
emr|reporting|IP_SepsisPatientDates,description carries no grain declaration
emr|reporting|IP_SepsisScreeningAudit,description carries no grain declaration
emr|reporting|IP_SepsisShiftCompliance,description carries no grain declaration
emr|dbo|LAB_COMPONENTS,description carries no grain declaration
emr|dbo|LAB_ORDER_RESULTS,description carries no grain declaration
emr|dbo|LINE_DEVICE_AIRWAY,description carries no grain declaration
