schema,table,column,ordinal
dbo,ADT_EVENTS,ACCOMMODATION_CODE,1
dbo,ALERT_ACTIONS,ACTION_TAKEN_CODE,1
dbo,ALERT_HISTORY,ALERT_ALLERGEN_ID,1
dbo,BED_CONFIG,ACCOMMODATION_CODE,1
dbo,CALENDAR_DATES,BUS_DAY_CT,1
dbo,CLINICAL_ALERTS,ALERT_DESC,1
dbo,CLINICAL_NOTES,ACCEPT_DATE,1
dbo,CONFIG_GROUPER_CATEGORIES,CM_LOG_OWNER_ID,1
dbo,CONFIG_VALUE_SET,CODE,1
dbo,DEPARTMENTS,ADT_PARENT_ID,1
dbo,DIAGNOSES,CC_FLG_FLAG,1
dbo,ED_ENCOUNTERS_DM,ABUSE_RECD_BEF_DEPART,1
dbo,ED_ENCOUNTERS_FACT,ACUITY_LEVEL_CODE,1
dbo,ED_EVENT_INFO,ADT_EVENT_ID,1
dbo,ED_EVENT_TEMPLATES,CASE_TRKING_EVENT_CODE,1
dbo,ED_PATIENT_INFO,ADT_TRANSFER_LINK,1
dbo,EMPLOYEES,ADDRESS,1
dbo,ENCOUNTER_DIAGNOSES,ANNOTATION,1
dbo,ENCOUNTER_VISIT_REASONS,BODY_LOC_ID,1
dbo,FLOWSHEET_MEASUREMENTS,ABNORMAL_CODE,1
dbo,FLOWSHEET_RECORDS,CM_LOG_OWNER_ID,1
dbo,FY_DATE_DIMENSION,CALENDAR_DT,1
dbo,GROUPER_COMPILED_LIST,BASE_GROUPER_ID,1
dbo,GROUPER_GROUPS,CM_LOG_OWNER_ID,1
dbo,GROUPER_MED_RECORDS,CM_LOG_OWNER_ID,1
dbo,GROUPER_TERMINOLOGY,CM_LOG_OWNER_ID,1
dbo,HOSPITAL_ACCOUNTS,ABSTRACT_USER_ID,1
dbo,HOSPITAL_ACCOUNTS_EXT,ACCOUNT_BAL_TYPE_CODE,1
dbo,HOSPITAL_ACCT_DIAGNOSES,CAUSE_DEATH_FLAG,1
dbo,HOSPITAL_ENCOUNTERS,ACCOMMODATION_CODE,1
dbo,HOSPITAL_TRANSACTIONS,ACCT_CLASS_HA_CODE,1
dbo,IP_SEPSIS,ADTDepartmentName,1
dbo,IP_SepsisDetails,IP_SepsisDetails_ID,1
dbo,IP_SepsisEncounters,IP_SepsisEncounters_ID,1
dbo,IP_SepsisEncountersWLocations,IP_SepsisEncountersWLocations_ID,1
dbo,IP_SepsisPatientDates,IP_SepsisPatientDates_ID,1
dbo,IP_SepsisScreeningAudit,IP_SepsisScreeningAudit_ID,1
dbo,IP_SepsisShiftCompliance,IP_SepsisShiftCompliance_ID,1
dbo,LAB_COMPONENTS,ABBREVIATION,1
dbo,LAB_ORDER_RESULTS,CM_CT_OWNER_ID,1
dbo,LINE_DEVICE_AIRWAY,ADDED_TO_BACKGROUND_AVATAR_CODE,1
dbo,LOCATIONS,ADT_LOCATION_TYPE_CODE,1
dbo,MEDICATIONS,CM_LOG_OWNER_ID,1
dbo,MEDICATION_ORDERS,ACT_ORDER_CODE,1
dbo,MEDICATION_ORDERS_EXT,BACK_DATED_FLAG,1
dbo,MED_ADMIN_RECORDS,AN_BCMA_MED_SCANCOMP_CODE,1
dbo,MED_DETAILS_EXT,ADMIN_RND_FACTOR,1
dbo,MED_MIX_COMPONENTS,AMOUNT_BUTTONS,1
dbo,NON_SEVERE_SEPSIS_STAGING,EncounterID,1
dbo,NOTE_ENCOUNTER_INFO,ACTIVITY_DTTM,1
dbo,NOTE_TEMPLATE_LIST_IDS,CONTACT_DATE,1
dbo,NOTE_TEMPLATE_TEXT_IDS,CONTACT_DATE,1
dbo,ORDER_DISPENSE_INFO,ACQUISITION_COST,1
dbo,ORDER_TRACKING_METRICS,ACKNOWLEDGE_DTTM,1
dbo,ORGANISMS,ABBREVIATION,1
dbo,PATIENTS,ADD_LINE_1,1
dbo,PATIENT_DEMOGRAPHICS_RACE,CM_LOG_OWNER_ID,1
dbo,PATIENT_ENCOUNTERS,ACCOUNT_ID,1
dbo,PROCEDURES_CATALOG,ACCOUNT_INS,1
dbo,PROCEDURE_ORDERS,ABNORMAL_FLAG,1
dbo,PROCEDURE_ORDERS_EXT,AFTER_ORDER_ID,1
dbo,PROVIDERS,ACTIVE_STATUS,1
dbo,REF_ALERT_ACTIONS,ABBR,1
dbo,REF_ALERT_OVERRIDE_REASONS,ABBR,1
dbo,REF_ALERT_STATUS,ABBR,1
dbo,REF_DISCHARGE_DISPOSITION,ABBR,1
dbo,REF_ED_DISPOSITION,ABBR,1
dbo,REF_ETHNIC_GROUP,ABBR,1
dbo,REF_GENERIC_MED,ABBR,1
dbo,REF_PATIENT_CLASS,ABBR,1
dbo,REF_PATIENT_RACE,ABBR,1
dbo,REF_SEX,ABBR,1
dbo,REF_SHOWN_PLACE,ABBR,1
dbo,RX_VERIFY_TRACE,CM_LOG_OWNER_ID,1
dbo,SEVERE_SEPSIS_STAGING,EncounterID,1
dbo,TREATMENT_TEAMS,CM_CT_OWNER_ID,1
dbo,VISIT_REASONS,ABBREVIATION,1
dbo,V_HOSPITAL_TRANSACTIONS,ACCT_CLASS_HA_CODE,1
dbo,V_PATIENT_ENCOUNTERS,ACCOUNT_ID,1
dbo,V_PATIENT_LOCATION_HISTORY,ADT_BED_ENC,1
dbo,V_PHARMACY_DISPENSE,ACTION_ID,1
dbo,V_PHARMACY_DISPENSE_ACTION,ACTION_DATE,1
dbo,V_PHARMACY_ORDER,ADS_OVERRIDE_FLAG,1
dbo,CLINICAL_NOTE_TEXT,NOTE_ID,1
dbo,DIAGNOSES_CURRENT_ICD10,DX_ID,1
