schema,table,column,description,data_type
dbo,PATIENTS,PATIENT_ID,Unique patient identifier.,INT
dbo,PATIENTS,PATIENT_NAME,Patient display name (synthetic).,NVARCHAR(200)
dbo,PATIENTS,BIRTH_DATE,Patient date of birth.,DATE
dbo,PATIENTS,ACTIVE_FLAG,1 when the patient is active in the panel.,CHAR(1)
dbo,PATIENTS,PRIMARY_LANGUAGE,Preferred language for outreach.,NVARCHAR(200)
dbo,ENCOUNTERS,ENCOUNTER_ID,Unique encounter identifier.,INT
dbo,ENCOUNTERS,PATIENT_ID,Patient seen in this encounter.,INT
dbo,ENCOUNTERS,ENCOUNTER_DATE,Date of the encounter.,DATE
dbo,ENCOUNTERS,DEPARTMENT,Department where the encounter occurred.,NVARCHAR(200)
dbo,LAB_RESULTS,LAB_ID,Unique lab result identifier.,INT
dbo,LAB_RESULTS,PATIENT_ID,Patient the result belongs to.,INT
dbo,LAB_RESULTS,LAB_CODE,Laboratory test code.,NVARCHAR(200)
dbo,LAB_RESULTS,HBA1C_VALUE,Hemoglobin A1c percentage result.,"DECIMAL(4,1)"
dbo,LAB_RESULTS,RESULT_DATE,Date the result was finalized.,DATE
dbo,DIAGNOSIS_CODES,DX_ID,Unique diagnosis row identifier.,INT
dbo,DIAGNOSIS_CODES,PATIENT_ID,Diagnosed patient.,INT
dbo,DIAGNOSIS_CODES,ICD_CODE,ICD-10 diagnosis code.,NVARCHAR(200)
dbo,DIAGNOSIS_CODES,DX_DATE,Date the diagnosis was recorded.,DATE
dbo,MEDICATION_ORDERS,ORDER_ID,Unique medication order identifier.,INT
dbo,MEDICATION_ORDERS,PATIENT_ID,Patient the order was placed for.,INT
dbo,MEDICATION_ORDERS,MED_NAME,Ordered medication name.,NVARCHAR(200)
dbo,MEDICATION_ORDERS,ORDER_DATE,Date the order was placed.,DATE
dbo,PROBLEM_LIST,PROBLEM_ID,Unique problem-list entry identifier.,INT
dbo,PROBLEM_LIST,PATIENT_ID,Patient the problem belongs to.,INT
dbo,PROBLEM_LIST,PROBLEM_CODE,Coded problem entry.,NVARCHAR(200)
dbo,PROBLEM_LIST,NOTED_DATE,Date the problem was noted.,DATE
dbo,ENCOUNTER_DIAGNOSIS,ENC_DX_ID,Unique encounter-diagnosis row identifier.,INT
dbo,ENCOUNTER_DIAGNOSIS,ENCOUNTER_ID,Encounter the diagnosis was coded on.,INT
dbo,ENCOUNTER_DIAGNOSIS,PATIENT_ID,Diagnosed patient.,INT
dbo,ENCOUNTER_DIAGNOSIS,DX_CODE,ICD-10 code assigned on the encounter.,NVARCHAR(200)
dbo,HOSPITAL_ENCOUNTERS,HOSP_ENC_ID,Unique hospital encounter identifier.,INT
dbo,HOSPITAL_ENCOUNTERS,PATIENT_ID,Patient seen.,INT
dbo,HOSPITAL_ENCOUNTERS,ENCOUNTER_TYPE,ED or IP.,NVARCHAR(200)
dbo,HOSPITAL_ENCOUNTERS,ADMIT_DATE,Admission or arrival date.,DATE
dbo,HOSPITAL_DIAGNOSIS,HOSP_DX_ID,Unique hospital-diagnosis row identifier.,INT
dbo,HOSPITAL_DIAGNOSIS,HOSP_ENC_ID,Hospital encounter the diagnosis belongs to.,INT
dbo,HOSPITAL_DIAGNOSIS,PATIENT_ID,Diagnosed patient.,INT
dbo,HOSPITAL_DIAGNOSIS,DX_CODE,ICD-10 code assigned in hospital.,NVARCHAR(200)
dbo,LAB_ORDERS,LAB_ORDER_ID,Unique lab order identifier.,INT
dbo,LAB_ORDERS,HOSP_ENC_ID,Hospital encounter the order belongs to.,INT
dbo,LAB_ORDERS,PATIENT_ID,Ordered-for patient.,INT
dbo,LAB_ORDERS,ORDERED_DATE,Date the order was placed.,DATE
dbo,PROFESSIONAL_BILLING,BILLING_ID,Unique billing transaction identifier.,INT
dbo,PROFESSIONAL_BILLING,PATIENT_ID,Billed patient.,INT
dbo,PROFESSIONAL_BILLING,CPT_ROW_ID,Billed CPT row reference.,INT
dbo,PROFESSIONAL_BILLING,SERVICE_DATE,Date of service billed.,DATE
dbo,CPT_CODES,CPT_ROW_ID,Unique CPT row identifier.,INT
dbo,CPT_CODES,CPT_CODE,Billed CPT code.,NVARCHAR(200)
dbo,CPT_CODES,PATIENT_ID,Patient the code was billed for.,INT
dbo,OR_CASES,CASE_ID,Unique OR case identifier.,INT
dbo,OR_CASES,PATIENT_ID,Surgical patient.,INT
dbo,OR_CASES,CASE_DATE,Scheduled case date.,DATE
dbo,PROCEDURE_ORDERS,PROC_ORDER_ID,Unique procedure order identifier.,INT
dbo,PROCEDURE_ORDERS,CASE_ID,OR case the order belongs to.,INT
dbo,PROCEDURE_ORDERS,PATIENT_ID,Patient the procedure is for.,INT
dbo,PROCEDURE_ORDERS,PROC_CODE,Ordered procedure code.,NVARCHAR(200)
dbo,APPOINTMENTS,APPT_ID,Unique appointment identifier.,INT
dbo,APPOINTMENTS,PATIENT_ID,Scheduled patient.,INT
dbo,APPOINTMENTS,APPT_STATUS,"completed, cancelled, or no-show.",NVARCHAR(200)
dbo,APPOINTMENTS,APPT_DATE,Appointment date.,DATE
dbo,PATIENT_PCP_ASSIGNMENT,ASSIGN_ID,Unique assignment row identifier.,INT
dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID,Attributed patient.,INT
dbo,PATIENT_PCP_ASSIGNMENT,PCP_NAME,Assigned primary-care provider.,NVARCHAR(200)
dbo,DM_REGISTRY,REGISTRY_ID,Unique registry row identifier.,INT
dbo,DM_REGISTRY,PATIENT_ID,Registry member patient.,INT
dbo,DM_REGISTRY,ENROLLED_DATE,Registry enrollment date.,DATE
dbo,DIAGNOSIS_CODESET,DX_CODE,ICD-10 code.,NVARCHAR(200)
dbo,DIAGNOSIS_CODESET,DX_DESCRIPTION,Code description.,NVARCHAR(200)
dbo,LAB_CODESET,LAB_CODE,Lab test code.,NVARCHAR(200)
dbo,LAB_CODESET,LAB_DESCRIPTION,Test description.,NVARCHAR(200)
