fk_num,ordinal,src_schema,src_table,src_column,dest_schema,dest_table,dest_column
1,1,dbo,PATIENTS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
2,1,dbo,PATIENTS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
3,1,dbo,ENCOUNTERS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
4,1,dbo,ENCOUNTERS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
5,1,dbo,ENCOUNTERS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
6,1,dbo,LAB_RESULTS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
7,1,dbo,LAB_RESULTS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
8,1,dbo,LAB_RESULTS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
9,1,dbo,LAB_RESULTS,LAB_CODE,dbo,LAB_CODESET,LAB_CODE
10,1,dbo,DIAGNOSIS_CODES,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
11,1,dbo,DIAGNOSIS_CODES,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
12,1,dbo,DIAGNOSIS_CODES,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
13,1,dbo,MEDICATION_ORDERS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
14,1,dbo,MEDICATION_ORDERS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
15,1,dbo,MEDICATION_ORDERS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
16,1,dbo,PROBLEM_LIST,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
17,1,dbo,PROBLEM_LIST,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
18,1,dbo,PROBLEM_LIST,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
