schema,table,column,ordinal
dbo,PATIENTS,PATIENT_ID,1
dbo,ENCOUNTERS,ENCOUNTER_ID,1
dbo,LAB_RESULTS,LAB_ID,1
dbo,DIAGNOSIS_CODES,DX_ID,1
dbo,MEDICATION_ORDERS,ORDER_ID,1
dbo,PROBLEM_LIST,PROBLEM_ID,1
dbo,ENCOUNTER_DIAGNOSIS,ENCOUNTER_ID,1
dbo,ENCOUNTER_DIAGNOSIS,DX_LINE,2
dbo,HOSPITAL_ENCOUNTERS,HOSP_ENC_ID,1
dbo,HOSPITAL_DIAGNOSIS,HOSP_ENCOUNTER_ID,1
dbo,HOSPITAL_DIAGNOSIS,DX_LINE,2
dbo,LAB_ORDERS,LAB_ORDER_ID,1
dbo,PROFESSIONAL_BILLING,BILLING_ID,1
dbo,CPT_CODES,CPT_ROW_ID,1
dbo,OR_CASES,CASE_ID,1
dbo,PROCEDURE_ORDERS,PROC_ORDER_ID,1
dbo,APPOINTMENTS,APPT_ID,1
dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID,1
dbo,DM_REGISTRY,PATIENT_ID,1
dbo,DIAGNOSIS_CODESET,DX_CODE,1
dbo,LAB_CODESET,LAB_CODE,1
dbo,MED_CODESET,MED_CODE,1
dbo,CPT_CODESET,CPT_CODE,1
dbo,PROC_CODESET,PROC_CODE,1
