schema,table,column,description
dbo,PATIENT,PATIENT_ID,"Unique identifier for the patient record."
dbo,PATIENT,PATIENT_NAME,"The patient's full name."
dbo,ENCOUNTER,ENCOUNTER_ID,"Unique identifier for the encounter record."
dbo,ENCOUNTER,PATIENT_ID,"The patient associated with this encounter."
dbo,ENCOUNTER,APPT_STATUS_C,"Status category for the appointment."
dbo,ENCOUNTER,VISIT_DATE,"The date of the visit."
dbo,ENCOUNTER_DX,ENCOUNTER_DX_ID,"Unique identifier for the encounter diagnosis record."
dbo,ENCOUNTER_DX,ENCOUNTER_ID,"The encounter this diagnosis belongs to."
dbo,ENCOUNTER_DX,LINE,"Line number of the diagnosis on the encounter."
dbo,ENCOUNTER_DX,DX_CODE,"The diagnosis code."
dbo,DX_COMMENT,COMMENT_ID,"Unique identifier for the comment."
dbo,DX_COMMENT,ENCOUNTER_ID,"The encounter of the commented diagnosis."
dbo,DX_COMMENT,DX_LINE,"The diagnosis line the comment refers to."
dbo,DX_COMMENT,COMMENT_TEXT,"The comment text."
dbo,VAL_APPT_STATUS,APPT_STATUS_C,"The status category value."
dbo,VAL_APPT_STATUS,NAME,"The status name."
dbo,VAL_APPT_STATUS,INTERNAL_ID,"Internal identifier; duplicates the category value."
dbo,STAGING_LOG,LOAD_ID,"Load identifier."
dbo,STAGING_LOG,LOAD_TIME,"Load timestamp."
