schema,table,column,description
reporting,IP_SepsisDetails,ABXName,The a b x name recorded for sepsis cases.
reporting,IP_SepsisDetails,ABXTime,The a b x time recorded for sepsis cases.
reporting,IP_SepsisDetails,ABXVolume,The a b x volume recorded for sepsis cases.
reporting,IP_SepsisDetails,BPPercentile,The b p percentile recorded for sepsis cases.
reporting,IP_SepsisDetails,BloodCultureOrderTime,The blood culture order time recorded for sepsis cases.
reporting,IP_SepsisDetails,BloodCultureProcedureOrdered,The blood culture procedure ordered recorded for sepsis cases.
reporting,IP_SepsisDetails,BloodCultureResult,The blood culture result recorded for sepsis cases.
reporting,IP_SepsisDetails,Bolus,The bolus recorded for sepsis cases.
reporting,IP_SepsisDetails,BolusTime,The bolus time recorded for sepsis cases.
reporting,IP_SepsisDetails,BolusVolume,The bolus volume recorded for sepsis cases.
reporting,IP_SepsisDetails,CALENDAR_DT,The date presented in standard date format.
reporting,IP_SepsisDetails,CSFOrderTime,The c s f order time recorded for sepsis cases.
reporting,IP_SepsisDetails,CSFOrdered,The c s f ordered recorded for sepsis cases.
reporting,IP_SepsisDetails,CSFValue,The c s f value recorded for sepsis cases.
reporting,IP_SepsisDetails,CVVHYN,The c v v h y n recorded for sepsis cases.
reporting,IP_SepsisDetails,DobutamineYN,The dobutamine y n recorded for sepsis cases.
reporting,IP_SepsisDetails,DopamineYN,The dopamine y n recorded for sepsis cases.
reporting,IP_SepsisDetails,ECMOYN,The e c m o y n recorded for sepsis cases.
reporting,IP_SepsisDetails,EDLosHours,The e d los hours recorded for sepsis cases.
reporting,IP_SepsisDetails,ENCORDER,The e n c o r d e r recorded for sepsis cases.
reporting,IP_SepsisDetails,ENCOVERALLORDER,The e n c o v e r a l l o r d e r recorded for sepsis cases.
reporting,IP_SepsisDetails,EncounterWeight,The encounter weight recorded for sepsis cases.
reporting,IP_SepsisDetails,EpinephrineYN,The epinephrine y n recorded for sepsis cases.
reporting,IP_SepsisDetails,FirstPositiveScoreInED,The first positive score in e d recorded for sepsis cases.
reporting,IP_SepsisDetails,FirstPositiveScoreTimeInED,The first positive score time in e d recorded for sepsis cases.
reporting,IP_SepsisDetails,HypotensionTime,The hypotension time recorded for sepsis cases.
reporting,IP_SepsisDetails,HypotensionValue,The hypotension value recorded for sepsis cases.
reporting,IP_SepsisDetails,IPSOSevereSepsisYN,The i p s o severe sepsis y n recorded for sepsis cases.
reporting,IP_SepsisDetails,IntubationTime,The intubation time recorded for sepsis cases.
reporting,IP_SepsisDetails,LacticAcidOrderTime,The lactic acid order time recorded for sepsis cases.
reporting,IP_SepsisDetails,LacticAcidResult,The lactic acid result recorded for sepsis cases.
reporting,IP_SepsisDetails,MilrinoneYN,The milrinone y n recorded for sepsis cases.
reporting,IP_SepsisDetails,NorepinephrineYN,The norepinephrine y n recorded for sepsis cases.
reporting,IP_SepsisDetails,OXYN,The o x y n recorded for sepsis cases.
reporting,IP_SepsisDetails,OrderSetID,The order set i d recorded for sepsis cases.
reporting,IP_SepsisDetails,OrderSetTime,The order set time recorded for sepsis cases.
reporting,IP_SepsisDetails,PATENCENCID,The p a t e n c e n c i d recorded for sepsis cases.
reporting,IP_SepsisDetails,PIVPlacementTime,The p i v placement time recorded for sepsis cases.
reporting,IP_SepsisDetails,PositiveODScore,The positive o d score recorded for sepsis cases.
reporting,IP_SepsisDetails,PressorYN,The pressor y n recorded for sepsis cases.
reporting,IP_SepsisDetails,ProcalcitoninOrderTime,The procalcitonin order time recorded for sepsis cases.
reporting,IP_SepsisDetails,ProcalcitoninResult,The procalcitonin result recorded for sepsis cases.
reporting,IP_SepsisDetails,RefreshDate,The refresh date recorded for sepsis cases.
reporting,IP_SepsisDetails,SepsisDate,Date when the patient fulfilled the criteria for non-severe sepsis.
reporting,IP_SepsisDetails,UniqueRow,The unique row recorded for sepsis cases.
reporting,IP_SepsisDetails,UnitOrder,The unit order recorded for sepsis cases.
reporting,IP_SepsisEncounters,ADTArrivalTime,The date and time when this patient contact occurred.
reporting,IP_SepsisEncounters,ADTDepartmentID,The ID number representing the department associated with the event record at the time it is effective.
reporting,IP_SepsisEncounters,ADTDepartmentName,The name associated with the department.
reporting,IP_SepsisEncounters,AgeMonths,The age months recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,AgeYears,The age years recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,AllEncDx,The all enc dx recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,AllEncReasons,The all enc reasons recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,BirthDate,The date of the patient's birth.
reporting,IP_SepsisEncounters,Disposition,The disposition recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,EDDepartureTime,The timestamp indicating when the patient exited the ED.
reporting,IP_SepsisEncounters,ENCOUNTER_ID,"The unique identifier for this contact's encounter. This number is distinct for all patient encounters within the system. If IntraConnect is utilized, this corresponds to the Unique Contact Identifier."
