screen_date,department,patients_screened,positive_screens,bundle_compliance_pct,avg_minutes_to_screen
2026-05-11,ED Main,34,3,81.9,37
2026-05-11,ED Fast Track,17,1,84.6,35
2026-05-11,ED Peds,17,1,91.6,44
2026-05-12,ED Main,40,3,78.8,39
2026-05-12,ED Fast Track,22,2,84.9,54
2026-05-12,ED Peds,14,0,82.7,39
2026-05-13,ED Main,53,5,73.1,33
2026-05-13,ED Fast Track,14,1,86.0,43
2026-05-13,ED Peds,11,0,83.7,36
2026-05-14,ED Main,38,2,76.5,44
2026-05-14,ED Fast Track,21,1,79.5,39
2026-05-14,ED Peds,13,0,76.7,26
2026-05-15,ED Main,37,2,81.3,38
2026-05-15,ED Fast Track,23,1,76.9,45
2026-05-15,ED Peds,12,1,74.9,38
2026-05-16,ED Main,34,2,89.3,39
2026-05-16,ED Fast Track,20,1,76.5,40
2026-05-16,ED Peds,11,0,81.6,32
2026-05-17,ED Main,31,2,81.5,49
2026-05-17,ED Fast Track,16,1,88.1,41
2026-05-17,ED Peds,10,0,75.4,46
2026-05-18,ED Main,42,4,88.7,39
2026-05-18,ED Fast Track,20,2,78.4,46
2026-05-18,ED Peds,12,1,78.7,54
2026-05-19,ED Main,35,3,91.1,45
2026-05-19,ED Fast Track,26,1,79.4,45
2026-05-19,ED Peds,11,0,85.3,36
2026-05-20,ED Main,36,3,79.9,37
2026-05-20,ED Fast Track,21,2,80.1,38
2026-05-20,ED Peds,14,1,77.6,46
2026-05-21,ED Main,35,3,76.5,38
2026-05-21,ED Fast Track,23,1,79.0,44
2026-05-21,ED Peds,12,1,85.4,40
2026-05-22,ED Main,27,2,83.9,52
2026-05-22,ED Fast Track,22,1,83.6,41
2026-05-22,ED Peds,10,0,85.5,59
2026-05-23,ED Main,27,2,82.2,44
2026-05-23,ED Fast Track,20,1,78.8,50
2026-05-23,ED Peds,9,0,75.9,48
2026-05-24,ED Main,38,2,74.3,38
2026-05-24,ED Fast Track,16,1,85.8,45
2026-05-24,ED Peds,9,0,87.7,41
2026-05-25,ED Main,40,2,66.0,35
2026-05-25,ED Fast Track,15,1,80.3,45
2026-05-25,ED Peds,13,1,76.6,40
2026-05-26,ED Main,31,2,82.7,47
2026-05-26,ED Fast Track,21,1,72.5,38
2026-05-26,ED Peds,17,1,80.9,46
2026-05-27,ED Main,39,3,79.1,37
2026-05-27,ED Fast Track,21,1,80.2,46
2026-05-27,ED Peds,14,0,89.6,45
2026-05-28,ED Main,38,2,83.0,40
2026-05-28,ED Fast Track,21,1,77.9,22
2026-05-28,ED Peds,11,0,84.1,38
2026-05-29,ED Main,43,4,82.5,33
2026-05-29,ED Fast Track,21,1,80.9,46
2026-05-29,ED Peds,10,1,84.6,44
2026-05-30,ED Main,24,2,80.2,37
2026-05-30,ED Fast Track,19,1,85.8,38
2026-05-30,ED Peds,10,0,72.7,47
2026-05-31,ED Main,27,2,84.7,36
2026-05-31,ED Fast Track,12,0,86.3,34
2026-05-31,ED Peds,12,1,83.3,39
2026-06-01,ED Main,39,2,86.4,49
2026-06-01,ED Fast Track,14,1,75.7,43
2026-06-01,ED Peds,13,1,85.9,39
2026-06-02,ED Main,34,3,78.2,48
2026-06-02,ED Fast Track,20,1,71.0,44
2026-06-02,ED Peds,14,1,83.5,35
2026-06-03,ED Main,26,1,92.3,39
2026-06-03,ED Fast Track,21,1,79.2,48
2026-06-03,ED Peds,7,0,77.6,33
2026-06-04,ED Main,43,3,90.9,32
2026-06-04,ED Fast Track,21,1,87.3,37
2026-06-04,ED Peds,10,0,83.0,38
2026-06-05,ED Main,32,2,89.1,41
2026-06-05,ED Fast Track,23,1,90.3,36
2026-06-05,ED Peds,13,1,73.0,47
2026-06-06,ED Main,28,1,77.5,33
2026-06-06,ED Fast Track,14,0,81.0,33
2026-06-06,ED Peds,9,0,85.6,36
2026-06-07,ED Main,27,1,85.5,44
2026-06-07,ED Fast Track,14,0,85.8,48
2026-06-07,ED Peds,9,0,92.8,32
2026-06-08,ED Main,30,1,90.2,41
2026-06-08,ED Fast Track,20,1,78.8,34
2026-06-08,ED Peds,15,0,83.0,41
2026-06-09,ED Main,38,3,77.9,51
2026-06-09,ED Fast Track,24,1,84.4,36
2026-06-09,ED Peds,13,1,89.3,44
2026-06-10,ED Main,30,2,80.3,44
2026-06-10,ED Fast Track,12,0,89.7,41
2026-06-10,ED Peds,13,0,84.2,41
2026-06-11,ED Main,38,3,82.2,30
2026-06-11,ED Fast Track,26,2,90.4,29
2026-06-11,ED Peds,10,0,86.3,38
2026-06-12,ED Main,35,3,73.3,27
2026-06-12,ED Fast Track,18,1,94.8,48
2026-06-12,ED Peds,15,1,83.3,39
2026-06-13,ED Main,22,1,87.5,38
2026-06-13,ED Fast Track,15,0,76.5,40
2026-06-13,ED Peds,11,1,81.4,36
2026-06-14,ED Main,30,3,83.3,34
2026-06-14,ED Fast Track,15,0,81.2,47
2026-06-14,ED Peds,10,0,84.1,47
2026-06-15,ED Main,38,3,88.3,47
2026-06-15,ED Fast Track,22,2,93.5,41
2026-06-15,ED Peds,11,0,77.3,42
2026-06-16,ED Main,45,4,81.6,40
2026-06-16,ED Fast Track,17,1,84.5,35
2026-06-16,ED Peds,12,0,84.9,31
2026-06-17,ED Main,31,2,75.3,44
2026-06-17,ED Fast Track,25,1,80.6,36
2026-06-17,ED Peds,17,1,86.6,35
2026-06-18,ED Main,34,3,86.1,34
2026-06-18,ED Fast Track,23,2,91.1,38
2026-06-18,ED Peds,10,0,89.2,42
2026-06-19,ED Main,51,3,80.5,38
2026-06-19,ED Fast Track,13,1,81.7,36
2026-06-19,ED Peds,15,1,91.9,36
2026-06-20,ED Main,33,3,81.6,34
2026-06-20,ED Fast Track,18,1,76.8,43
2026-06-20,ED Peds,11,0,78.9,51
2026-06-21,ED Main,33,2,82.1,35
2026-06-21,ED Fast Track,18,1,79.9,41
2026-06-21,ED Peds,13,1,92.6,35
2026-06-22,ED Main,37,2,84.7,47
2026-06-22,ED Fast Track,20,1,88.7,38
2026-06-22,ED Peds,16,1,77.3,40
2026-06-23,ED Main,39,2,84.1,32
2026-06-23,ED Fast Track,25,2,86.9,38
2026-06-23,ED Peds,17,1,86.8,31
2026-06-24,ED Main,36,2,93.0,34
2026-06-24,ED Fast Track,22,1,90.9,33
2026-06-24,ED Peds,10,0,85.2,39
2026-06-25,ED Main,38,3,85.7,44
