TABLE_NAME,COLUMN_NAME,DESCRIPTION,DATA_TYPE
ADT_EVENTS,ACCOMMODATION_C,The accommodation code of the event. This is extracted as the category title.,VARCHAR
ADT_EVENTS,ACCOM_REASON_C,The category value corresponding to the reason for the room accommodation for the patient of the event record at the effective time.,INTEGER
ADT_EVENTS,ACTION_SOURCE_C,This item holds the reason behind an auto-generated event (e.g. when the service is automatically updated due to an attending provider change).,INTEGER
ADT_EVENTS,ADM_EVENT_ID,*** Deprecated *** This column has been replaced by column HSP_ADM_EVENT_ID (EPT/18838) in table PAT_ENC_HSP_2. Please reference the replacement column to get the relevant values.  The ID number of the admission event record for this patient stay.,NUMERIC
ADT_EVENTS,ALT_EVENT_TYPE_C,The category value corresponding to an alternate type for the event record.,INTEGER
ADT_EVENTS,BASE_PAT_CLASS_C,The category value corresponding to the base classification for the patient of the event record at the effective time.,INTEGER
ADT_EVENTS,BED_CSN_ID,The serial number for the bed contact of the event record. This number is unique across all bed contacts in the system.,NUMERIC
ADT_EVENTS,BED_ID,The ID number of the bed of the event record at the effective time.,VARCHAR
ADT_EVENTS,BED_STATUS_C,The category value corresponding to the record state of the bed of the event record at the effective time.,INTEGER
ADT_EVENTS,CANCEL_REASON_C,This item holds the reason why an event was canceled.,VARCHAR
ADT_EVENTS,CANC_EVENT_ID,The ID number of the canceled event record that this event record replaces.,NUMERIC
ADT_EVENTS,CM_LOG_OWNER_ID,ID of the logical deployment owner for this record. Logical owners show the deployment where the record was created but doesn't represent if the record is a part of version skew.,VARCHAR
ADT_EVENTS,CM_PHY_OWNER_ID,"ID of the physical deployment owner for this record. Physical owners will be where the data is hosted, either on the cross-over server or the owner deployment.",VARCHAR
ADT_EVENTS,COMMENTS,The free text comment associated with the event record. This is used to hold overridden confirmation warnings by the user for the event type event record action.,VARCHAR
ADT_EVENTS,CONVERTED_TO_EVENT_ID,"When an event converts from an LOA Out to a Discharge or from a Discharge to an LOA Out, as indicated in I ADT 95 (Event Conversion Flag), a new ADT event is created which is not linked to the canceled event via I ADT 92 (Event Pointer). This item points to that new ADT event.",NUMERIC
ADT_EVENTS,DELETE_TIME,The instant when the event record was actually deleted.,DATETIME
ADT_EVENTS,DEPARTMENT_ID,The ID number of the unit of the event record at the effective time.,NUMERIC
ADT_EVENTS,DIS_EVENT_ID,*** Deprecated *** This column has been replaced by column HSP_DIS_EVENT_ID (EPT/18839) in table PAT_ENC_HSP_2. Please reference the replacement column to get the relevant values.  The ID number of the discharge event record for this patient stay.,NUMERIC
ADT_EVENTS,EFFECTIVE_TIME,The instant when the event was supposed to have happened.,DATETIME
ADT_EVENTS,EFFECTIVE_UTC_DTTM,The instant when the event was supposed to have happened in UTC.,DATETIME
