SOURCE_TABLE,SOURCE_COLUMN,DEST_TABLE,DEST_COLUMN,CARDINALITY,EVIDENCE,EVIDENCE_COUNT
ADT_EVENTS,BED_STAY_ID,BED_CONFIG,BED_STAY_ID,,corpus,1
ADT_EVENTS,DEPARTMENT_ID,CONFIG_VALUE_SET,CODE,,corpus,1
ADT_EVENTS,DEPARTMENT_ID,DEPARTMENTS,DEPARTMENT_ID,,corpus,7
ADT_EVENTS,ENCOUNTER_ID,HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,,corpus,2
ALERT_ACTIONS,ACTION_TAKEN_CODE,REF_ALERT_ACTIONS,ALT_ACTION_TAKEN_CODE,,corpus,2
ALERT_ACTIONS,ALT_ENCOUNTER_ID,ALERT_HISTORY,ALT_ENCOUNTER_ID,,corpus,2
ALERT_HISTORY,ALT_ID,CLINICAL_ALERTS,ALT_ID,,corpus,8
ALERT_HISTORY,ALT_STATUS_CODE,REF_ALERT_STATUS,ALT_STATUS_CODE,,corpus,2
ALERT_HISTORY,SHOWN_PLACE_CODE,REF_SHOWN_PLACE,SHOWN_PLACE_CODE,,corpus,2
ALERT_HISTORY,SPEC_OVR_RSN_CODE,REF_ALERT_OVERRIDE_REASONS,ALRT_SP_OVR_RSN_CODE,,corpus,8
ALERT_HISTORY,USER_ID,EMPLOYEES,USER_ID,,corpus,2
CALENDAR_DATES,CALENDAR_DT,FLOWSHEET_MEASUREMENTS,RECORDED_TIME,,corpus,8
CALENDAR_DATES,CALENDAR_DT,HOSPITAL_TRANSACTIONS,SERVICE_DATE,,corpus,2
CALENDAR_DATES,CALENDAR_DT,LINE_DEVICE_AIRWAY,PLACEMENT_INSTANT,,corpus,5
CALENDAR_DATES,CALENDAR_DT,MEDICATION_ORDERS,ORDER_DTTM,,corpus,2
CALENDAR_DATES,CALENDAR_DT,MED_ADMIN_RECORDS,TAKEN_TIME,,corpus,6
CALENDAR_DATES,CALENDAR_DT,PROCEDURE_ORDERS,ORDER_TIME,,corpus,8
CLINICAL_NOTES,NOTE_ID,CLINICAL_NOTE_TEXT,NOTE_ID,,corpus,1
CLINICAL_NOTES,NOTE_ID,NOTE_ENCOUNTER_INFO,NOTE_ID,,corpus,4
CLINICAL_NOTES,NOTE_ID,NOTE_TEMPLATE_LIST_IDS,NOTE_ID,,corpus,4
CLINICAL_NOTES,NOTE_ID,NOTE_TEMPLATE_TEXT_IDS,NOTE_ID,,corpus,4
CONFIG_VALUE_SET,CODE,DIAGNOSES_CURRENT_ICD10,CODE,,corpus,1
CONFIG_VALUE_SET,CODE,ICD_PROCEDURE_CODES,REF_BILL_CODE,,corpus,4
CONFIG_VALUE_SET,CODE,LINE_DEVICE_AIRWAY,FLO_MEAS_ID,,corpus,5
CONFIG_VALUE_SET,CODE,REF_GENERIC_MED,SIMPLE_GENERIC_CODE,,corpus,1
CONFIG_VALUE_SET,CODE,V_PATIENT_LOCATION_HISTORY,ADT_DEPARTMENT_ID,,corpus,1
DEPARTMENTS,DEPARTMENT_ID,HOSPITAL_ENCOUNTERS,DEPARTMENT_ID,,corpus,6
DEPARTMENTS,DEPARTMENT_ID,V_PATIENT_LOCATION_HISTORY,ADT_DEPARTMENT_ID,,corpus,2
DEPARTMENTS,REV_LOC_ID,LOCATIONS,LOC_ID,,corpus,7
DIAGNOSES,DX_ID,ENCOUNTER_DIAGNOSES,DX_ID,,corpus,8
DIAGNOSES_CURRENT_ICD10,DX_ID,ENCOUNTER_DIAGNOSES,DX_ID,,corpus,4
ED_ENCOUNTERS_DM,ENCOUNTER_ID,ED_ENCOUNTERS_FACT,ENCOUNTER_ID,,corpus,2
ED_ENCOUNTERS_FACT,ENCOUNTER_ID,HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,,corpus,2
ED_EVENT_INFO,EVENT_ID,ED_PATIENT_INFO,EVENT_ID,,corpus,4
ED_EVENT_INFO,EVENT_TYPE,ED_EVENT_TEMPLATES,RECORD_ID,,corpus,2
ED_EVENT_TEMPLATES,ENCOUNTER_ID,LINE_DEVICE_AIRWAY,ENCOUNTER_ID,,corpus,1
ED_EVENT_TEMPLATES,INPATIENT_DATA_ID,FLOWSHEET_RECORDS,INPATIENT_DATA_ID,,corpus,2
ED_PATIENT_INFO,ENCOUNTER_ID,HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,,corpus,1
EMPLOYEES,USER_ID,NOTE_ENCOUNTER_INFO,AUTHOR_USER_ID,,corpus,4
EMPLOYEES,USER_ID,RX_VERIFY_TRACE,RX_VER_USER_ID,,corpus,2
FLOWSHEET_MEASUREMENTS,FSD_ID,FLOWSHEET_RECORDS,FSD_ID,,corpus,56
FLOWSHEET_RECORDS,INPATIENT_DATA_ID,HOSPITAL_ENCOUNTERS,INPATIENT_DATA_ID,,corpus,10
GROUPER_MED_RECORDS,EXP_MEDS_LIST_ID,MEDICATIONS,MEDICATION_ID,,corpus,8
HOSPITAL_ACCOUNTS,HOSPITAL_ACCOUNT_ID,V_HOSPITAL_TRANSACTIONS,HOSPITAL_ACCOUNT_ID,,corpus,1
HOSPITAL_ACCT_PX_LIST,FINAL_ICD_PX_ID,ICD_PROCEDURE_CODES,ICD_PX_ID,,corpus,4
HOSPITAL_ENCOUNTERS,DISCH_DISP_CODE,REF_DISCHARGE_DISPOSITION,DISCH_DISP_CODE,,corpus,4
HOSPITAL_ENCOUNTERS,ED_DISPOSITION_CODE,REF_ED_DISPOSITION,ED_DISPOSITION_CODE,,corpus,4
HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,HOSPITAL_TRANSACTIONS,ENCOUNTER_ID,,corpus,2
HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,V_HOSPITAL_TRANSACTIONS,ENCOUNTER_ID,,corpus,3
