Head,Head Full Name,Relation,Tail,Tail Asset Type,Provenance
A1c Testing Compliance,reporting.USP_A1c_Compliance,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Active Diabetic Patients,reporting.USP_Active_Diabetics,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Care Cascade (Linear),reporting.USP_Care_Cascade,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Controlled Diabetes Rate,reporting.USP_Controlled_Diabetes,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Controlled Diabetes Rate (Monthly),reporting.USP_Controlled_Diabetes_M,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Line-Ending Probe A,reporting.USP_Crlf_Probe_A,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Line-Ending Probe B,reporting.USP_Crlf_Probe_B,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
DM Patient List,reporting.USP_DM_Patient_List,source table [reads],DBO.PROBLEM_LIST,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Composite),reporting.USP_DM_Registry_Composite,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Composite),reporting.USP_DM_Registry_Composite,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Composite),reporting.USP_DM_Registry_Composite,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Composite),reporting.USP_DM_Registry_Composite,source table [reads],DBO.PATIENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry,reporting.USP_DM_Registry_MedDerived,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry,reporting.USP_DM_Registry_MedDerived,source table [reads],DBO.MED_CODESET,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry,reporting.USP_Diabetes_Registry,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetes Registry (Legacy v1),reporting.USP_Diabetes_Registry_v1,source table [reads],DBO.PROBLEM_LIST,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Billing),reporting.USP_Diabetic_Billing,source table [reads],DBO.CPT_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Billing),reporting.USP_Diabetic_Billing,source table [reads],DBO.CPT_CODESET,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Billing),reporting.USP_Diabetic_Billing,source table [reads],DBO.PROFESSIONAL_BILLING,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Codeset,reporting.USP_Diabetic_CodesetA,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (excl. gestational),reporting.USP_Diabetic_ExclGest,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (excl. gestational),reporting.USP_Diabetic_ExclGest,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (incl. gestational),reporting.USP_Diabetic_InclGest,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (incl. gestational),reporting.USP_Diabetic_InclGest,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients,reporting.USP_Diabetic_Panel,source table [reads],DBO.DIAGNOSIS_CODESET,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients,reporting.USP_Diabetic_Panel,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients,reporting.USP_Diabetic_Panel,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Diagnosis Codes),reporting.USP_Diabetic_Patients_DX,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Diagnosis Codes),reporting.USP_Diabetic_Patients_DX,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Diagnosis Codes),reporting.USP_Diabetic_Patients_DX,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Lab Criteria),reporting.USP_Diabetic_Patients_Lab,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Lab Criteria),reporting.USP_Diabetic_Patients_Lab,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patient Roster,reporting.USP_Diabetic_Roster,source table [reads],DBO.PROBLEM_LIST,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Enrollment Snapshot,reporting.USP_Enrollment_Snapshot,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers Without PCP,reporting.USP_High_ED_NoPCP,source table [reads],DBO.HOSPITAL_ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers Without PCP,reporting.USP_High_ED_NoPCP,source table [reads],DBO.PATIENT_PCP_ASSIGNMENT,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers,reporting.USP_High_ED_Utilizers,source table [reads],DBO.HOSPITAL_ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Missed Appointments,reporting.USP_Missed_Appointments,source table [reads],DBO.APPOINTMENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Outreach Funnel (Diamond),reporting.USP_Outreach_Funnel,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Outreach Funnel (Diamond),reporting.USP_Outreach_Funnel,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Outreach Funnel (Diamond),reporting.USP_Outreach_Funnel,source table [reads],DBO.PROBLEM_LIST,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,source table [reads],DBO.DIAGNOSIS_CODESET,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,source table [reads],DBO.HOSPITAL_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (ED Utilization),reporting.USP_Panel_ED_Visits,source table [reads],DBO.HOSPITAL_ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
